Player Name,Score,Character,Vehicle,Glider,Tires
Panda,80695,Donkey Kong,Teddy Buggy,Paper Glider,Azure Roller
Panda,80624,Donkey Kong,Teddy Buggy,Paper Glider,Azure Roller
Luckyo,76460,Waluigi,Varmint,Super Glider,Roller
Army,56625,Wario,Sneeker,Gold Glider,Crimson Slim
¥146,81540,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Alberto,84866,Wario,Biddybuggy,Paper Glider,Azure Roller
Luckyo,76311,Donkey Kong,Varmint,Super Glider,Roller
Luckyo,76420,Roy,Varmint,Super Glider,Roller
Alberto,111367,Roy,Mr. Scooty,Paper Glider,Azure Roller
EternalX,62184,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Alberto,76269,Waluigi,Varmint,Super Glider,Azure Roller
K4I,111184,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
K4I,111234,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
K4I,111067,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Army,75513,Waluigi,Biddybuggy,Paper Glider,Azure Roller
¥146,81484,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
StervtL,87775,Waluigi,Biddybuggy,Paper Glider,Azure Roller
EternalX,62368,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Ronny,75623,Donkey Kong,Biddybuggy,Paper Glider,Azure Roller
grace,77191,Wario,Wild Wiggler,Paper Glider,Azure Roller
ユダ,113331,Waluigi,Biddybuggy,Paper Glider,Azure Roller
ユダ,113297,Roy,Biddybuggy,Flower Glider,Roller
しらぬい,86351,Donkey Kong,Biddybuggy,Paper Glider,Azure Roller
Alberto,76304,Waluigi,Varmint,Super Glider,Azure Roller
Alberto,113216,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
K4I,113305,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Alberto,113034,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Jimmy L,73581,Roy,Biddybuggy,Cloud Glider,Roller
Alberto,112943,Wario,Biddybuggy,Paper Glider,Azure Roller
Army,75583,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Technical,75508,Donkey Kong,Biddybuggy,Paper Glider,Roller
Army,75391,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Army,75213,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Army,75079,Waluigi,Biddybuggy,Paper Glider,Azure Roller
¥146,81477,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Nico4132,76851,Wario,Sport Bike,Super Glider,Crimson Slim
Army,75029,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Army,74987,Waluigi,Biddybuggy,Paper Glider,Azure Roller
しらぬい,113182,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Army,74883,Waluigi,Biddybuggy,Paper Glider,Azure Roller
¥146,81389,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Army,74934,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Army,74835,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Alberto,81980,Waluigi,Streetle,Paper Glider,Azure Roller
Army,113009,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
alpha,76261,Waluigi,Varmint,Super Glider,Azure Roller
Alberto,86278,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
EternalX,62134,Waluigi,Biddybuggy,Cloud Glider,Azure Roller
alpha,76247,Waluigi,Varmint,Super Glider,Azure Roller
Alberto,76217,Waluigi,Varmint,Super Glider,Azure Roller
Alberto,76234,Waluigi,Varmint,Super Glider,Azure Roller
¥146,111034,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Alberto,76143,Waluigi,Varmint,Super Glider,Azure Roller
K4I,110901,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
なすの,122404,Donkey Kong,Mr. Scooty,Paper Glider,Azure Roller
Panda,112670,Bowser,Biddybuggy,Paper Glider,Azure Roller
Alberto,84674,Heavy Mii Mega Man,Biddybuggy,Paper Glider,Azure Roller
Alberto,84705,Heavy Mii Hylian,Biddybuggy,Paper Glider,Azure Roller
Army,113130,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Pii,81759,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Army,112959,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Army,113102,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
¥146,81387,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
kaimin,87763,Waluigi,Mr. Scooty,Paper Glider,Roller
Alberto,59187,Wario,Gold Standard,Gold Glider,Crimson Slim
Alberto,87755,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Alberto,59165,Wario,Gold Standard,Gold Glider,Crimson Slim
Alberto,59179,Wario,Gold Standard,Gold Glider,Crimson Slim
Alberto,59099,Wario,Gold Standard,Gold Glider,Crimson Slim
kaimin,87756,Waluigi,Mr. Scooty,Paper Glider,Roller
Panda,102395,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Alberto,87731,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Alberto,87654,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Panda,102338,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Alberto,87623,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
Alberto,102196,Baby Peach,Biddybuggy,Parachute,Azure Roller
Alberto,101959,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
Alberto,102119,Baby Daisy,Biddybuggy,Parachute,Azure Roller
Panda,81337,Donkey Kong,Mr. Scooty,Paper Glider,Azure Roller
Alberto,102108,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
grace,77182,Dry Bowser,Wild Wiggler,Paper Glider,Azure Roller
Alberto,87480,Waluigi,Mr. Scooty,Paper Glider,Azure Roller
grace,77156,Dry Bowser,Wild Wiggler,Paper Glider,Azure Roller
grace,77145,Dry Bowser,Wild Wiggler,Paper Glider,Azure Roller
Army,76784,Wario,Sport Bike,Super Glider,Crimson Slim
Army,76734,Wario,Sport Bike,Super Glider,Crimson Slim
Panda,86231,Lemmy,Biddybuggy,Paper Glider,Azure Roller
Alberto,80498,Waluigi,Teddy Buggy,Paper Glider,Azure Roller
Alberto,80571,Waluigi,Teddy Buggy,Paper Glider,Azure Roller
Alberto,86189,Baby Daisy,Biddybuggy,Paper Glider,Azure Roller
